url,headline
https://www.nbcnews.com/science,Science News
https://www.nbcnews.com/business/markets/kalshi-fines-suspends-politicians-insider-trading-elections-rcna341505,Kalshi fines and suspends three politicians for 'insider trading' on their own races
https://www.nbcnews.com/tech/crypto/blockchain-billionaire-sun-takes-trump-familys-crypto-firm-court-rcna341523,Blockchain billionaire Justin Sun takes Trump family's crypto firm to court
https://www.nbcnews.com/artificial-intelligence,Artificial intelligence
https://www.nbcnews.com/tech/tech-news/spacex-says-can-buy-ai-coding-tool-cursor-60b-later-year-rcna341455,SpaceX says it can buy AI coding tool Cursor for $60B later this year
https://www.nbcnews.com/tech/apple,Apple
https://www.nbcnews.com/tech/apple/apple-ai-john-ternus-tim-cook-rcna341225,Apple's choice for new CEO suggests the company is cool with no longer being cool
https://www.nbcnews.com/tech/internet,Internet
https://www.nbcnews.com/tech/internet/top-podcasters-run-gambling-ads-can-reach-kids-report-says-rcna341067,"Top podcasters run gambling ads that can reach kids, report says"
https://www.nbcnews.com/culture-matters,Culture & Trends
https://www.nbcnews.com/tech/tech-news/florida-attorney-general-criminal-investigation-openai-fsu-chatgpt-rcna341205,Florida's attorney general announces criminal investigation into OpenAI
https://www.nbcnews.com/politics/2026-election/maine-governor-janet-mills-undecided-signing-bill-banning-data-centers-rcna332400,Maine Gov. Janet Mills is undecided on whether to sign a pause on data centers
https://www.nbcnews.com/,News
https://podcasts.apple.com/us/podcast/heres-the-scoop/id1820996352?i=1000763318661,Here's the Scoop
https://www.nbcnews.com/politics/trump-administration/navy-secretary-phelan-exits-administration-rcna341532,Navy Secretary John Phelan fired amid tensions with Pete Hegseth as Iran war rages
https://www.nbcnews.com/now/video/spelman-college-students-invent-a-way-for-plants-to-talk-with-the-help-of-ai-261996101682,Spelman College students invent a way for plants to talk with the help of AI
https://www.today.com/video/here-s-what-happens-when-you-recycle-old-technology-devices-261872709838,How This Recycling Facility is Giving New Life to Old Tech
https://www.nbcnews.com/video/what-are-peptides-and-why-is-the-fda-considering-easing-limits-261857349531,What are peptides and why is the FDA considering easing limits?
https://www.nbcnews.com/video/meet-viper-the-mri-for-your-car-261855813557,"Meet Viper, the MRI for your car"
https://www.today.com/video/john-ternus-named-to-succeed-tim-cook-as-apple-ceo-261778501761,"Tim Cook Steps Down as Apple CEO, Ending 15-year Run"
https://www.nbcnews.com/video/apple-announces-tim-cook-to-step-aside-as-ceo-261738565883,Apple announces Tim Cook to step aside as CEO
https://www.today.com/video/robots-race-against-humans-in-half-marathon-in-china-261698629926,Robots Race Against Humans in Half-Marathon in China
https://www.nbcnews.com/video/humanoid-robots-race-runners-at-beijing-half-marathon-261681221777,Humanoid robots race runners at Beijing half marathon
https://www.nbcnews.com/nightly-news/video/new-trailer-features-ai-generated-version-of-val-kilmer-a-year-after-his-death-261534277542,"New trailer features AI-generated version of Val Kilmer, a year after his death"
https://www.nbcnews.com/video/fidel-castro-s-grandson-speaks-on-cuba-s-future-trump-and-social-media-261461061538,"Fidel Castro’s grandson speaks on Cuba’s future, Trump, and social media"
https://www.nbcnews.com/nightly-news/video/sophisticated-investment-scheme-swindling-americans-out-of-savings-261363269784,Sophisticated investment scheme swindling Americans out of savings
https://www.today.com/video/roblox-set-to-add-age-restricted-accounts-amid-safety-scrutiny-261343301784,Roblox Is Rolling out Age-Based Accounts for Children and Teens
https://www.nbcnews.com/video/new-technology-offers-hope-for-parkinson-s-patients-261290565897,New technology offers hope for Parkinson’s patients
